probID,sID,probAns,answer,correct,answerAt,publishAt,questionType
6,73,A,A,TRUE,05:10.2,01:07.9,-1
6,58,A,A,TRUE,30:37.9,01:07.9,-1
6,99,A,A,TRUE,56:56.6,01:07.9,-1
6,65,A,A,TRUE,11:18.9,01:07.9,-1
6,45,A,A,TRUE,21:23.1,01:07.9,-1
6,101,A,A,TRUE,39:31.8,01:07.9,-1
6,94,A,A,TRUE,40:09.5,01:07.9,-1
6,89,A,A,TRUE,57:58.0,01:07.9,-1
6,3,A,A,TRUE,16:12.3,01:07.9,-1
6,2,A,A,TRUE,29:01.0,01:07.9,-1
6,55,A,A,TRUE,43:30.6,01:07.9,-1
6,42,A,A,TRUE,19:09.2,01:07.9,-1
6,68,A,A,TRUE,21:01.2,01:07.9,-1
6,71,A,A,TRUE,21:04.7,01:07.9,-1
6,36,A,A,TRUE,32:10.3,01:07.9,-1
6,18,A,A,TRUE,44:06.4,01:07.9,-1
6,37,A,A,TRUE,51:27.0,01:07.9,-1
6,79,A,A,TRUE,58:16.8,01:07.9,-1
6,112,A,A,TRUE,07:16.7,01:07.9,-1
6,16,A,A,TRUE,37:22.7,01:07.9,-1
6,86,A,B,FALSE,44:40.9,01:07.9,-1
6,86,A,C,FALSE,44:48.0,01:07.9,-1
6,86,A,D,FALSE,44:56.1,01:07.9,-1
6,86,A,A,TRUE,45:04.1,01:07.9,-1
6,64,A,A,TRUE,09:24.3,01:07.9,-1
6,113,A,A,TRUE,03:39.8,01:07.9,-1
6,10,A,A,TRUE,40:07.6,01:07.9,-1
6,114,A,A,TRUE,08:46.5,01:07.9,-1
6,38,A,A,TRUE,52:56.4,01:07.9,-1
6,44,A,A,TRUE,59:07.2,01:07.9,-1
6,29,A,A,TRUE,06:23.0,01:07.9,-1
6,85,A,D,FALSE,22:08.1,01:07.9,-1
6,85,A,B,FALSE,22:19.7,01:07.9,-1
6,85,A,A,TRUE,22:28.9,01:07.9,-1
6,41,A,A,TRUE,33:22.0,01:07.9,-1
6,69,A,A,TRUE,36:40.0,01:07.9,-1
6,59,A,A,TRUE,01:02.2,01:07.9,-1
6,75,A,A,TRUE,17:05.9,01:07.9,-1
6,78,A,A,TRUE,41:20.6,01:07.9,-1
6,104,A,A,TRUE,55:08.2,01:07.9,-1
6,28,A,A,TRUE,56:45.2,01:07.9,-1
6,30,A,A,TRUE,57:53.3,01:07.9,-1
6,48,A,A,TRUE,58:26.4,01:07.9,-1
6,32,A,A,TRUE,03:06.7,01:07.9,-1
6,15,A,A,TRUE,46:45.3,01:07.9,-1
6,7,A,A,TRUE,49:29.9,01:07.9,-1
6,62,A,A,TRUE,14:57.2,01:07.9,-1
6,105,A,A,TRUE,46:27.6,01:07.9,-1
6,60,A,A,TRUE,56:26.0,01:07.9,-1
6,52,A,A,TRUE,57:31.7,01:07.9,-1
6,63,A,A,TRUE,58:38.1,01:07.9,-1
6,91,A,A,TRUE,01:41.3,01:07.9,-1
6,115,A,A,TRUE,10:44.3,01:07.9,-1
6,9,A,A,TRUE,11:45.6,01:07.9,-1
6,35,A,A,TRUE,24:24.7,01:07.9,-1
6,74,A,D,FALSE,26:47.5,01:07.9,-1
6,74,A,A,TRUE,27:13.7,01:07.9,-1
6,47,A,D,FALSE,30:19.7,01:07.9,-1
6,47,A,A,TRUE,30:40.7,01:07.9,-1
6,61,A,A,TRUE,38:22.7,01:07.9,-1
6,26,A,A,TRUE,39:39.7,01:07.9,-1
6,49,A,A,TRUE,40:05.3,01:07.9,-1
6,12,A,A,TRUE,40:39.2,01:07.9,-1
6,39,A,A,TRUE,41:36.6,01:07.9,-1
6,84,A,B,FALSE,42:26.5,01:07.9,-1
6,8,A,A,TRUE,42:32.3,01:07.9,-1
6,84,A,A,TRUE,42:35.1,01:07.9,-1
6,57,A,A,TRUE,43:42.3,01:07.9,-1
6,22,A,D,FALSE,46:17.5,01:07.9,-1
6,22,A,A,TRUE,46:24.7,01:07.9,-1
6,54,A,A,TRUE,48:27.0,01:07.9,-1
6,67,A,A,TRUE,48:45.7,01:07.9,-1
